date,pm25,pm10,o3,no2,so2,co
2022-01-01,118.0,71.0,13.0,2.0,1.0,24.0
2022-01-02,125.0,74.0,15.0,2.0,2.0,24.0
2022-01-03,133.0,78.0,23.0,6.0,1.0,25.0
2022-01-04,136.0,92.0,9.0,8.0,12.0,14.0
2022-01-05,154.0,80.0,9.0,3.0,20.0,12.8
2022-01-06,138.0,107.0,14.0,6.0,4.0,11.6
2022-01-07,170.0,79.0,8.0,3.0,3.0,10.4
2022-01-08,144.0,59.0,10.0,2.0,2.0,9.2
2022-01-09,105.5,39.0,12.0,1.0,1.0,8.0
2022-01-10,67.0,78.0,13.0,1.0,1.0,24.0
2022-01-11,141.0,74.0,12.0,1.0,1.0,26.0
2022-01-12,125.0,93.0,15.0,3.0,6.0,30.0
2022-01-13,154.0,70.0,17.0,3.0,7.0,37.0
2022-01-14,133.0,76.0,15.0,10.0,2.0,28.0
2022-01-15,140.0,65.0,24.0,7.0,3.0,28.0
2022-01-16,113.0,72.0,23.0,5.0,3.0,29.0
2022-01-17,127.0,72.0,29.0,1.0,5.0,32.0
2022-01-18,130.0,82.0,25.0,1.0,2.0,28.0
2022-01-19,141.0,63.0,30.0,5.0,3.0,28.0
2022-01-20,113.0,55.0,14.0,9.0,3.0,26.0
2022-01-21,99.0,48.0,10.0,12.0,1.0,24.0
2022-01-22,90.0,487.0,15.0,9.0,2.0,24.0
2022-01-23,360.0,175.0,29.0,8.0,3.0,25.0
2022-01-24,217.0,140.0,14.0,12.0,2.0,27.0
2022-01-25,191.0,120.0,20.0,2.0,3.0,27.0
2022-01-26,177.0,95.0,16.0,4.0,5.0,28.0
2022-01-27,163.0,56.0,28.0,11.0,4.0,29.0
2022-01-28,106.0,43.0,29.5,7.0,4.0,29.5
2022-01-29,82.5,30.0,31.0,3.0,4.0,30.0
2022-01-30,59.0,29.0,33.0,3.0,4.0,29.0
2022-01-31,60.0,23.0,23.0,12.0,5.0,28.0
2022-02-01,51.0,33.0,17.0,1.0,2.0,27.0
2022-02-02,67.0,27.0,16.0,1.0,5.0,29.0
2022-02-03,58.0,36.0,10.0,1.0,2.0,24.0
2022-02-04,74.0,106.0,16.0,1.0,2.0,25.0
2022-02-05,162.0,112.0,37.0,11.0,5.0,25.0
2022-02-06,174.0,83.0,22.0,3.0,2.0,26.0
2022-02-07,151.0,55.0,16.0,2.0,2.0,24.0
2022-02-08,103.0,68.0,20.0,2.0,2.0,25.0
2022-02-09,126.0,81.0,18.0,10.0,3.0,26.0
2022-02-10,148.0,66.0,17.0,4.0,2.0,25.0
2022-02-11,120.0,65.0,32.0,2.0,3.0,26.0
2022-02-12,120.0,70.0,42.0,2.0,3.0,28.0
2022-02-13,128.0,59.0,26.0,2.0,2.0,24.0
2022-02-14,107.0,51.0,11.0,2.0,1.0,20.0
2022-02-15,93.0,40.0,10.0,1.0,3.0,19.0
2022-02-16,77.0,44.0,7.0,10.0,2.0,20.0
2022-02-17,83.0,55.0,9.0,1.0,1.0,21.0
2022-02-18,98.0,58.0,11.0,5.0,2.0,22.0
2022-02-19,106.0,61.0,30.0,1.0,1.0,22.0
2022-02-20,111.0,71.0,27.0,10.0,1.0,23.0
2022-02-21,132.0,88.0,43.0,3.0,1.0,22.0
2022-02-22,157.0,70.0,26.0,11.0,2.0,23.0
2022-02-23,133.0,75.0,15.0,1.0,1.6666666666666667,21.0
2022-02-24,134.0,117.0,27.0,1.0,1.3333333333333335,22.0
2022-02-25,175.0,91.0,18.0,2.0,1.0,21.0
2022-02-26,155.0,68.0,30.0,11.0,2.0,21.0
2022-02-27,128.0,57.0,43.0,1.0,1.0,20.0
2022-02-28,99.0,30.0,27.0,11.0,3.0,23.0
2022-03-01,61.0,7.0,35.0,12.0,2.0,24.0
2022-03-02,16.0,35.0,34.0,12.0,2.0,21.0
2022-03-03,66.0,62.0,14.0,12.0,3.0,21.0
2022-03-04,111.0,77.0,30.0,11.0,3.0,22.0
2022-03-05,140.0,73.0,15.0,12.0,1.0,20.0
2022-03-06,132.0,84.0,19.0,12.0,5.0,24.0
2022-03-07,148.0,95.0,11.0,4.0,1.0,22.0
2022-03-08,161.0,80.0,18.0,1.0,1.0,23.0
2022-03-09,138.0,83.0,34.0,1.0,3.0,21.0
2022-03-10,147.0,78.0,18.0,11.0,4.0,23.0
2022-03-11,144.0,53.0,23.0,13.0,3.0,18.0
2022-03-12,94.0,71.0,15.0,1.0,1.0,19.0
2022-03-13,126.0,68.0,16.0,11.0,1.0,19.0
2022-03-14,126.0,92.0,24.0,17.0,4.0,21.0
2022-03-15,157.0,75.0,25.0,10.0,1.0,13.0
2022-03-16,139.0,91.0,31.0,25.0,1.0,12.0
2022-03-17,156.0,82.0,15.0,1.0,1.0,13.0
2022-03-18,147.0,59.0,10.0,9.0,1.0,11.0
2022-03-19,114.0,66.0,7.0,1.0,1.0,13.0
2022-03-20,128.0,90.0,31.0,3.0,1.0,10.0
2022-03-21,158.0,78.0,27.0,1.0,3.0,14.0
2022-03-22,148.0,66.0,22.0,1.0,4.0,16.0
2022-03-23,124.0,68.16666666666667,62.857142857142854,1.0,4.285714285714286,14.428571428571429
2022-03-24,129.0,70.33333333333333,103.71428571428571,1.0,4.571428571428571,12.857142857142858
2022-03-25,134.0,72.5,144.57142857142856,1.0,4.857142857142857,11.285714285714286
2022-03-26,139.0,74.66666666666667,185.42857142857142,1.0,5.142857142857142,9.714285714285715
2022-03-27,144.0,76.83333333333333,226.28571428571428,1.0,5.428571428571429,8.142857142857142
2022-03-28,149.0,79.0,267.1428571428571,1.0,5.714285714285714,6.571428571428573
2022-03-29,154.0,76.0,308.0,4.0,6.0,5.0
2022-03-30,145.0,73.0,173.0,1.0,6.0,5.0
2022-03-31,130.0,123.0,339.0,1.0,1.0,5.0
2022-04-01,181.0,117.0,150.0,1.0,1.0,8.0
2022-04-02,177.0,96.0,155.0,1.0,5.0,8.0
2022-04-03,164.0,80.0,71.0,1.0,5.0,4.0
2022-04-04,152.0,69.0,64.0,1.0,1.0,7.0
2022-04-05,135.0,66.0,118.5,1.0,1.0,28.0
2022-04-06,130.0,65.0,173.0,3.0,3.0,34.0
2022-04-07,120.0,61.0,227.5,1.0,1.0,34.0
2022-04-08,115.0,56.0,282.0,11.0,3.0,32.0
2022-04-09,103.0,46.0,336.5,1.0,5.0,32.0
2022-04-10,85.0,53.0,391.0,1.0,1.0,31.0
2022-04-11,101.0,58.0,445.5,1.0,1.0,29.0
2022-04-12,112.0,73.0,500.0,1.0,2.0,14.0
2022-04-13,138.0,58.0,478.4347826086956,3.0,2.0,9.0
2022-04-14,110.0,49.0,456.8695652173913,1.0,1.0,12.0
2022-04-15,93.0,58.0,435.30434782608694,1.0,1.3333333333333333,10.0
2022-04-16,112.0,56.0,413.7391304347826,1.0,1.6666666666666665,10.0
2022-04-17,106.0,53.0,392.17391304347825,1.0,2.0,10.0
2022-04-18,101.0,54.0,370.6086956521739,1.0,1.6666666666666667,10.0
2022-04-19,104.0,60.0,349.04347826086956,1.0,1.3333333333333335,11.0
2022-04-20,114.0,70.0,327.47826086956525,1.0,1.0,13.0
2022-04-21,126.0,87.0,305.9130434782609,1.0,1.0,14.0
2022-04-22,154.0,79.0,284.3478260869565,1.0,1.0,12.0
2022-04-23,147.0,59.0,262.7826086956522,1.0,1.0,11.0
2022-04-24,114.0,64.0,241.2173913043478,1.0,1.0,10.0
2022-04-25,122.0,52.0,219.6521739130435,1.0,1.0,11.0
2022-04-26,98.0,47.0,198.08695652173913,1.0,2.0,11.0
2022-04-27,92.0,67.0,176.5217391304348,1.0,1.8333333333333333,10.0
2022-04-28,129.0,57.0,154.95652173913044,1.0,1.6666666666666667,12.0
2022-04-29,110.0,39.0,133.39130434782612,1.0,1.5,10.0
2022-04-30,75.0,40.0,111.82608695652175,1.0,1.3333333333333335,10.0
2022-05-01,77.0,46.0,90.26086956521743,1.0,1.1666666666666667,10.0
2022-05-02,85.0,56.0,68.69565217391306,1.0,1.0,10.0
2022-05-03,104.0,57.0,47.130434782608745,1.0,1.0,10.0
2022-05-04,109.0,67.0,25.565217391304373,1.0,1.3333333333333333,9.0
2022-05-05,130.0,88.0,4.0,3.0,1.6666666666666665,8.0
2022-05-06,146.0,98.0,18.0,6.0,2.0,6.0
2022-05-07,164.0,74.0,63.0,5.0,1.0,8.0
2022-05-08,145.0,65.0,40.0,4.0,1.0,7.0
2022-05-09,125.0,64.0,53.0,11.0,1.2,7.0
2022-05-10,126.0,57.0,68.0,4.0,1.4,8.0
2022-05-11,112.0,61.5,79.5,7.0,1.6,8.5
2022-05-12,121.5,66.0,91.0,10.0,1.7999999999999998,9.0
2022-05-13,131.0,88.0,82.0,13.0,2.0,7.0
2022-05-14,158.0,62.0,74.0,10.0,1.6666666666666667,7.0
2022-05-15,119.0,72.0,63.0,10.0,1.3333333333333335,9.0
2022-05-16,138.0,104.0,81.0,9.0,1.0,9.0
2022-05-17,168.0,124.0,86.0,9.0,2.0,8.0
2022-05-18,180.0,128.0,44.0,8.0,1.875,7.0
2022-05-19,183.0,96.0,65.0,7.0,1.75,7.0
2022-05-20,164.0,74.0,64.0,6.0,1.625,7.0
2022-05-21,143.0,53.0,67.0,6.0,1.5,8.0
2022-05-22,99.0,43.0,70.0,1.0,1.375,7.0
2022-05-23,83.0,47.0,74.0,2.0,1.25,7.0
2022-05-24,89.0,57.0,78.0,7.0,1.125,9.0
2022-05-25,108.0,55.0,83.0,7.0,1.0,9.0
2022-05-26,102.0,38.0,87.0,2.0,1.0,8.0
2022-05-27,73.0,34.0,39.0,7.0,1.0,8.0
2022-05-28,68.0,35.0,61.0,1.0,1.0,8.0
2022-05-29,69.0,49.0,43.0,7.0,1.0,7.0
2022-05-30,91.0,59.0,65.0,7.0,1.0,8.0
2022-05-31,112.0,60.0,44.0,7.0,1.0,8.0
2022-06-01,115.0,64.0,44.0,2.0,1.5,7.0
2022-06-02,123.0,65.0,58.0,8.0,2.0,9.0
2022-06-03,128.0,62.0,42.0,8.0,1.75,7.0
2022-06-04,115.0,41.0,53.0,22.0,1.5,7.333333333333333
2022-06-05,78.0,44.0,50.5,74.0,1.25,7.666666666666667
2022-06-06,83.0,42.0,48.0,54.0,1.0,8.0
2022-06-07,83.0,27.0,34.0,1.0,2.0,9.0
2022-06-08,58.0,52.0,19.0,1.0,2.5,7.5
2022-06-09,95.0,23.0,59.0,11.0,3.0,6.0
2022-06-10,45.0,44.0,69.0,8.0,1.0,7.0
2022-06-11,78.0,17.0,69.0,10.0,4.0,11.0
2022-06-12,37.0,21.0,82.0,8.0,1.0,14.0
2022-06-13,44.0,25.0,79.0,8.0,1.0,15.0
2022-06-14,51.0,153.0,59.0,1.0,1.0,17.0
2022-06-15,177.0,26.0,60.0,7.0,6.0,19.0
2022-06-16,54.0,22.0,68.0,1.0,5.0,17.0
2022-06-17,48.0,16.0,77.0,2.0,1.0,18.0
2022-06-18,38.0,15.666666666666666,75.5,2.0,1.5,19.5
2022-06-19,37.0,15.333333333333334,74.0,2.0,2.0,21.0
2022-06-20,36.0,15.0,65.0,1.0,1.0,10.0
2022-06-21,35.0,19.0,68.0,2.0,2.0,1.0
2022-06-22,44.0,26.0,17.0,1.0,3.0,2.0
2022-06-23,55.0,22.0,80.0,1.0,1.0,2.0
2022-06-24,50.0,20.0,73.0,1.0,1.0,2.0
2022-06-25,46.333333333333336,18.0,66.0,1.0,1.0,2.0
2022-06-26,42.666666666666664,16.0,59.0,1.0,1.0,2.0
2022-06-27,39.0,7.0,32.0,1.0,1.0,2.0
2022-06-28,18.0,9.0,35.0,1.0,1.0,2.0
2022-06-29,22.5,11.0,38.0,1.0,1.0,2.0
2022-06-30,27.0,14.0,67.0,6.0,2.0,2.0
2022-07-01,30.0,20.0,68.5,3.5,2.0,1.5
2022-07-02,43.5,26.0,70.0,1.0,2.0,1.0
2022-07-03,57.0,20.0,68.0,2.0,1.0,2.0
2022-07-04,42.0,9.0,4.0,2.5,1.0,4.0
2022-07-05,21.0,21.0,7.0,3.0,1.0,2.0
2022-07-06,45.0,12.0,4.0,2.0,1.0,2.0
2022-07-07,26.0,39.0,4.0,3.0,1.0,2.0
2022-07-08,75.0,37.0,4.333333333333333,3.3333333333333335,1.0,2.5
2022-07-09,71.66666666666667,35.0,4.666666666666667,3.6666666666666665,1.0,3.0
